idx,location_id,county_fips,lat,lon,feasible,failure_mode,risk_score,risk_tier,dominant,slope_deg,canopy_max_m,building_count,elapsed_s
91,178115773,37031,34.715745,-76.993131,True,feasible,0.0,low,clear,1.2,27.0,0,3.6
92,46205799,37031,34.956142,-76.671598,True,feasible,0.0,low,clear,1.1,19.0,3,3.2
93,100879944,37031,34.88761,-76.397355,False,mixed,90.1,critical,vegetation,0.5,21.0,2,4.3
94,178104605,37031,34.787917,-76.463684,True,feasible,0.0,low,clear,1.5,19.0,5,3.0
95,37960726,37033,36.320076,-79.203892,False,mixed,43.8,moderate,vegetation,4.0,22.0,0,1.8
96,37994467,37033,36.312509,-79.464741,False,mixed,90.4,critical,vegetation,10.8,24.0,3,2.3
97,194763501,37033,36.464495,-79.462574,False,local_canopy,3.7,low,vegetation,11.1,25.0,1,2.8
98,38121525,37033,36.315654,-79.333716,False,mixed,89.8,critical,vegetation,5.9,18.0,0,1.9
99,34158981,37033,36.46707,-79.204419,False,mixed,90.6,critical,vegetation,4.9,23.0,1,1.9
100,37631385,37033,36.465154,-79.334736,False,mixed,90.3,critical,vegetation,12.7,22.0,1,1.9
101,42268301,37035,35.618164,-81.024679,False,mixed,90.4,critical,vegetation,4.2,25.0,1,1.9
102,42080301,37035,35.754135,-81.225938,False,mixed,39.4,moderate,vegetation,4.0,23.0,3,2.9
103,41971259,37035,35.729334,-81.393037,True,feasible,0.0,low,clear,2.2,20.0,6,1.9
104,40386673,37035,35.617404,-81.421375,False,mixed,82.3,critical,vegetation,13.4,23.0,0,3.8
105,42241091,37035,35.616494,-81.225954,False,mixed,89.5,critical,vegetation,7.4,20.0,8,5.1
106,42059098,37035,35.709199,-81.029079,False,roof_unusable,0.0,low,clear,1.8,18.0,2,18.8
107,177857705,37037,35.600481,-79.0075,False,mixed,86.3,critical,vegetation,2.8,27.0,4,3.3
108,178910476,37037,35.785543,-79.230907,False,roof_unusable,0.0,low,clear,6.7,22.0,5,21.3
109,38002890,37037,35.603359,-79.229803,False,mixed,90.7,critical,vegetation,8.3,25.0,0,5.1
110,38047623,37037,35.78296,-79.445027,False,mixed,90.9,critical,vegetation,3.1,28.0,2,3.6
111,38049272,37037,35.605958,-79.447042,True,feasible,0.0,low,clear,2.5,3.0,0,4.3
112,38519186,37037,35.781194,-79.013128,False,mixed,88.9,critical,vegetation,3.3,32.0,2,2.1
113,42786711,37039,35.18485,-83.807302,False,mixed,90.0,critical,vegetation,16.5,22.0,2,2.0
114,42805328,37039,35.185957,-84.214347,False,mixed,90.7,critical,vegetation,28.3,26.0,0,3.2
115,42803555,37039,35.049233,-84.215389,False,mixed,89.7,critical,vegetation,9.4,18.0,1,2.1
116,195587013,37039,35.112264,-83.88959,False,mixed,90.3,critical,vegetation,28.6,24.0,1,2.4
117,42806918,37039,35.18287,-84.010966,False,mixed,38.9,moderate,terrain,52.6,23.0,3,2.0
118,42806185,37039,35.053503,-84.011468,False,mixed,81.2,critical,vegetation,9.3,20.0,7,1.6
119,39725683,37041,36.289988,-76.641133,False,mixed,44.8,moderate,vegetation,0.0,14.0,0,6.2
120,39661382,37041,36.064712,-76.487379,True,feasible,0.0,low,clear,1.2,24.0,3,4.0
121,39660250,37041,36.177731,-76.639472,False,local_building,9.4,low,vegetation,0.7,22.0,5,9.0
122,39656904,37041,36.061242,-76.644027,True,feasible,0.0,low,clear,0.4,18.0,0,5.6
123,39642598,37041,36.324836,-76.564155,True,feasible,0.0,low,clear,0.2,9.0,2,3.1
124,42791882,37043,35.101344,-83.623341,False,mixed,31.8,moderate,vegetation,10.4,25.0,2,1.8
125,42788741,37043,35.024459,-83.94946,False,mixed,87.2,critical,vegetation,3.3,28.0,2,2.5
126,178692949,37043,35.022477,-83.632256,False,mixed,90.7,critical,vegetation,28.8,25.0,0,1.7
127,42791506,37043,35.024956,-83.737115,False,roof_unusable,0.0,low,clear,10.1,15.0,9,2.8
128,42793334,37043,35.026904,-83.843639,False,mixed,36.9,moderate,vegetation,2.8,21.0,6,5.4
129,42794842,37043,35.097014,-83.735772,False,mixed,18.8,low,terrain,35.5,20.0,2,2.5
130,42807737,37043,35.068899,-83.932594,False,mixed,89.4,critical,vegetation,5.5,22.0,5,4.9
131,42794383,37043,35.09372,-83.85904,False,mixed,89.1,critical,vegetation,37.2,30.0,1,7.2
132,177975012,37045,35.368676,-81.432453,False,mixed,24.8,moderate,vegetation,6.6,14.0,6,2.3
133,178398871,37045,35.469724,-81.480903,False,mixed,90.4,critical,vegetation,6.3,25.0,1,3.2
134,39782454,37045,35.501916,-81.654161,True,feasible,0.0,low,clear,18.9,22.0,8,3.4
135,173663881,37045,35.231591,-81.653861,True,feasible,0.0,low,clear,3.4,22.0,2,3.6
136,40343255,37045,35.367054,-81.653916,True,feasible,0.0,low,clear,2.1,17.0,4,2.4
137,173455885,37045,35.231459,-81.431722,True,feasible,0.0,low,clear,4.1,12.0,1,2.4
138,41559098,37047,34.094714,-78.61879,False,mixed,21.5,moderate,vegetation,0.4,22.0,0,3.6
139,41604411,37047,34.135258,-78.87542,True,feasible,0.0,low,clear,0.5,17.0,0,3.2
140,41501209,37047,34.353229,-78.908278,False,mixed,86.9,critical,vegetation,1.0,24.0,1,2.5
141,41650179,37047,34.35396,-78.613925,True,feasible,0.0,low,clear,1.3,20.0,5,2.4
142,190718403,37047,34.194773,-78.374556,False,regional_terrain,0.0,low,clear,0.0,17.0,0,3.4
143,41560522,37047,34.358835,-78.312123,False,mixed,89.4,critical,vegetation,2.3,25.0,2,3.6
144,4308355,37049,35.006637,-77.046156,True,feasible,0.0,low,clear,2.2,19.0,4,3.9
145,41730267,37049,35.267459,-77.322231,True,feasible,0.0,low,clear,0.5,21.0,3,2.8
146,41731122,37049,35.255875,-77.046323,True,feasible,0.0,low,clear,1.1,23.0,6,1.9
147,41752029,37049,34.938482,-76.813582,False,mixed,31.2,moderate,vegetation,6.5,25.0,2,1.7
148,41883790,37049,35.096887,-77.219614,False,local_building,7.7,low,vegetation,1.0,25.0,0,4.4
149,40940574,37051,34.941893,-78.79848,False,mixed,65.3,high,vegetation,0.0,24.0,0,2.7
150,178448635,37051,35.158868,-78.801772,False,mixed,89.3,critical,vegetation,0.1,20.0,0,3.5
151,41237671,37051,34.943157,-78.992913,True,feasible,0.0,low,clear,1.6,20.0,22,3.6
152,41049386,37051,34.942385,-78.60809,False,mixed,0.0,low,clear,0.1,20.0,4,4.8
153,40952303,37051,35.155738,-78.990755,True,feasible,0.0,low,clear,0.9,17.0,27,1.7
154,178424066,37051,35.163947,-78.632633,False,mixed,90.6,critical,vegetation,0.8,25.0,0,22.5
155,178484100,37053,36.311754,-75.897359,False,mixed,59.5,high,vegetation,0.6,20.0,0,20.3
